IDENTIFIER	log2FoldChange	baseMean	lfcSE	stat	pvalue	padj	GO	arabidopsis	rice
bradi1g02680.1|pacid:21816191	1.005708209	178.0618316	0.120261528	8.362676146	6.13E-17	1.38E-15	"GO:0005525,GO:0007049,GO:0005634,GO:0005737"	translocon at the outer envelope membrane of chloroplasts 159	"chloroplast protein import component Toc159, putative, expressed"
bradi1g02690.1|pacid:21817779	1.299518934	18.61565922	0.332582093	3.907362904	9.33E-05	0.000462832		Haloacid dehalogenase-like hydrolase (HAD) superfamily protein	"haloacid dehalogenase-like hydrolase family protein, putative, expressed"
bradi1g02710.1|pacid:21820043	-1.567577448	152.0125573	0.144223552	-10.86908087	1.62E-27	6.84E-26	"GO:0008270,GO:0016787"	Cytidine/deoxycytidylate deaminase family protein	"tRNA-specific adenosine deaminase, putative, expressed"
bradi1g02847.1|pacid:21823668	1.387864572	9.626867432	0.40917975	3.391821249	0.000694297	0.002771177		POZ/BTB containin G-protein 1	"E1-BTB1 - Bric-a-Brac, Tramtrack, and Broad Complex domain with E1 subfamily conserved sequence, expressed"
bradi1g02910.1|pacid:21821698	1.049119496	37.42015088	0.179922386	5.830955904	5.51E-09	5.62E-08		Nucleic acid-binding proteins superfamily	expressed protein
bradi1g03142.1|pacid:21820139	1.167799791	1.140873442	0.490830445	2.379232591	0.017348725	0.044991376	GO:0005515		"OsFBX209 - F-box domain containing protein, expressed"
bradi1g03207.1|pacid:21820765	-2.816976654	117.9259631	0.211910078	-13.29326421	2.53E-40	1.83E-38	"GO:0004553,GO:0005975"	Glycosyl hydrolase superfamily protein	"OsMan05 - Endo-Beta-Mannanase, expressed"
bradi1g03230.1|pacid:21820797	-1.25008353	5.819588601	0.462926244	-2.700394601	0.006925728	0.020571114	"GO:0004857,GO:0030599"	Plant invertase/pectin methylesterase inhibitor superfamily protein	"invertase/pectin methylesterase inhibitor family protein, putative, expressed"
bradi1g03240.1|pacid:21819244	-1.409347416	3.052851944	0.523763513	-2.690808696	0.007127906	0.021083751	"GO:0004857,GO:0030599"	Plant invertase/pectin methylesterase inhibitor superfamily protein	"invertase/pectin methylesterase inhibitor family protein, putative, expressed"
bradi1g03307.1|pacid:21816137	1.321334089	1.994067135	0.514399244	2.568693686	0.010208265	0.028720797	GO:0005515		"OsFBX234 - F-box domain containing protein, expressed"
bradi1g03330.1|pacid:21817627	1.484369648	0.983917482	0.515834049	2.877610836	0.004006991	0.012837009		DNA GYRASE B3	"ELM2 domain containing protein, putative, expressed"
bradi1g03470.1|pacid:21818914	1.883989465	108.3010584	0.140877917	13.37320642	8.67E-41	6.37E-39		Calmodulin-binding protein	"calmodulin binding protein, putative, expressed"
bradi1g03500.1|pacid:21822911	-1.045172554	41.37161764	0.248389163	-4.207802555	2.58E-05	0.000144506	"GO:0005215,GO:0006857,GO:0016020"	Major facilitator superfamily protein	"peptide transporter PTR2, putative, expressed"
bradi1g03510.1|pacid:21818007	1.214250974	2049.573348	0.100659706	12.06292982	1.66E-33	9.28E-32	"GO:0004867,GO:0005576"		"BBTI13 - Bowman-Birk type bran trypsin inhibitor precursor, expressed"
bradi1g03590.1|pacid:21820775	-1.612394092	348.5091827	0.135743302	-11.87825894	1.54E-32	8.27E-31		Fes1A	"armadillo/beta-catenin-like repeat containing protein, expressed"
bradi1g03620.1|pacid:21823296	-1.227052623	152.3535779	0.156308217	-7.850211889	4.15E-15	8.09E-14		SCARECROW-like 14	"GRAS family transcription factor domain containing protein, expressed"
bradi1g03670.1|pacid:21819096	2.001481642	3.688787913	0.477003555	4.195947013	2.72E-05	0.000151208		Tetratricopeptide repeat (TPR)-like superfamily protein	"pentatricopeptide, putative, expressed"
bradi1g03750.1|pacid:21819987	-1.541671359	2257.366211	0.085041784	-18.12839858	1.90E-73	3.46E-71	"GO:0003779,GO:0005622"	actin depolymerizing factor 4	"actin-depolymerizing factor, putative, expressed"
bradi1g03760.1|pacid:21821650	-5.511309138	2440.722097	0.164415486	-33.52062068	2.41E-246	4.35E-243	"GO:0003779,GO:0005622"	actin depolymerizing factor 3	"actin-depolymerizing factor, putative, expressed"
bradi1g03770.1|pacid:21817107	-1.556166795	6.234371892	0.480977232	-3.235427147	0.001214609	0.004516841		C2H2-type zinc finger family protein	"ZOS3-21 - C2H2 zinc finger protein, expressed"
bradi1g03790.1|pacid:21819744	-3.482563336	32.8218113	0.334639682	-10.40690486	2.31E-25	8.64E-24		C2H2-type zinc finger family protein	"ZOS3-21 - C2H2 zinc finger protein, expressed"
bradi1g03867.1|pacid:21816771	1.399232695	24.85238418	0.387463405	3.611264128	0.000304708	0.001329434			"OsFBX443 - F-box domain containing protein, expressed"
bradi1g03920.1|pacid:21823469	-1.612451383	142.7978923	0.207825187	-7.758690889	8.58E-15	1.62E-13	GO:0003993	histidine acid phosphatase family protein	"histidine acid phosphatase, putative, expressed"
bradi1g03980.1|pacid:21819065	1.184171812	61.79291913	0.236390487	5.009388615	5.46E-07	4.11E-06		aromatic and neutral transporter 1	"ANT1, putative, expressed"
bradi1g04000.1|pacid:21822391	1.184850925	140.134417	0.261073391	4.538382555	5.67E-06	3.59E-05		SCAR homolog 2	"SCAR-like protein 1, putative, expressed"
bradi1g04010.1|pacid:21816393	-1.101983894	6.069194788	0.4647243	-2.371263767	0.017727375	0.045823461		Protein of unknown function (DUF567)	"DUF567 domain containing protein, putative, expressed"
bradi1g04030.1|pacid:21816612	1.700836743	34.69030919	0.247884705	6.861402522	6.82E-12	9.80E-11		2-oxoglutarate-dependent dioxygenase family protein	"oxidoreductase, 2OG-Fe oxygenase family protein, putative, expressed"
bradi1g04120.2|pacid:21816934	1.395092359	114.4786981	0.15327397	9.101952257	8.87E-20	2.45E-18	GO:0003723	RNA-binding KH domain-containing protein	"KH domain containing protein, putative, expressed"
bradi1g04150.1|pacid:21820881	-2.139846278	1136.834601	0.145311514	-14.72592381	4.39E-49	4.27E-47	"GO:0003677,GO:0006355"	NAC domain containing protein 102	"NAC domain-containing protein 67, putative, expressed"
bradi1g04280.1|pacid:21820492	-1.79419681	12.21589972	0.339250365	-5.288710035	1.23E-07	1.03E-06	"GO:0030528,GO:0006355"	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	"basic helix-loop-helix, putative, expressed"
bradi1g04292.1|pacid:21816667	-1.424634311	30.22647694	0.270418847	-5.268250823	1.38E-07	1.14E-06	GO:0005622		"BRCA1 C Terminus domain containing protein, expressed"
bradi1g04590.1|pacid:21823059	-1.132793436	81.33495297	0.161798472	-7.001261649	2.54E-12	3.79E-11	GO:0016787	nudix hydrolase homolog 16	"hydrolase, NUDIX family, domain containing protein, expressed"
bradi1g04720.1|pacid:21822620	1.988425362	27.64760132	0.288232583	6.898683483	5.25E-12	7.65E-11		Protein of Unknown Function (DUF239)	"carboxyl-terminal peptidase, putative, expressed"
bradi1g04760.1|pacid:21818991	1.205924591	12.57282505	0.361407759	3.33674239	0.000847665	0.003294424		Plant protein of unknown function (DUF868)	expressed protein
bradi1g04780.1|pacid:21820007	-1.80050253	302.3015835	0.172640332	-10.42921148	1.82E-25	6.87E-24			expressed protein
bradi1g04870.4|pacid:21815816	-1.061075876	587.0594794	0.141639863	-7.491364752	6.82E-14	1.19E-12	"GO:0016740,GO:0009058"	squalene synthase 1	"squalene synthetase, putative, expressed"
bradi1g04907.1|pacid:21817346	-1.309344443	7.901909724	0.45800921	-2.858773173	0.004252828	0.013511027	GO:0045735	germin-like protein subfamily 2 member 2 precursor	"Cupin domain containing protein, expressed"
bradi1g05100.1|pacid:21818954	-1.638364357	21.68480097	0.354813248	-4.617539977	3.88E-06	2.54E-05		Protein of unknown function (DUF569)	expressed protein
bradi1g05140.1|pacid:21817657	1.267806029	25.03754589	0.251449841	5.041983824	4.61E-07	3.52E-06	"GO:0045454,GO:0015035,GO:0009055,GO:0006662"	thioredoxin 2	"thioredoxin, putative, expressed"
bradi1g05156.1|pacid:21816171	1.479786105	23.35062658	0.264513235	5.594374539	2.21E-08	2.08E-07			"small multi-drug export protein, putative, expressed"
bradi1g05180.1|pacid:21821550	-1.333868357	154.1103936	0.151766675	-8.788941006	1.51E-18	3.84E-17	"GO:0055085,GO:0016021"	Major facilitator superfamily protein	"nodulin, putative, expressed"
bradi1g05230.1|pacid:21818012	1.147626157	5.410324293	0.452104118	2.538411199	0.011135706	0.030991411			expressed protein
bradi1g05370.1|pacid:21819230	-1.274161878	15.67845191	0.301209899	-4.230146093	2.34E-05	0.000132011		prenylated RAB acceptor 1.E	"prenylated rab acceptor, putative, expressed"
bradi1g05480.1|pacid:21823397	1.744847851	616.5862823	0.17557354	9.937988649	2.85E-23	9.53E-22	"GO:0003700,GO:0043565,GO:0046983,GO:0006355"	bZIP transcription factor family protein	"bZIP transcription factor domain containing protein, expressed"
bradi1g05520.1|pacid:21822249	1.095120191	16.52401369	0.414946759	2.639182417	0.008310625	0.02402989		Plant Tudor-like RNA-binding protein	expressed protein
bradi1g05620.1|pacid:21819967	1.113362953	81.0047168	0.209158262	5.323064658	1.02E-07	8.66E-07			expressed protein
bradi1g05890.1|pacid:21822352	1.006264666	9.184527269	0.379922991	2.648601666	0.008082553	0.023462843	"GO:0004672,GO:0005524,GO:0006468,GO:0048544,GO:0005529"	S-locus lectin protein kinase family protein	"serine/threonine-protein kinase receptor precursor, putative, expressed"
bradi1g06030.1|pacid:21823715	-1.08095613	217.1149408	0.158162475	-6.834466435	8.23E-12	1.17E-10	"GO:0005506,GO:0009055,GO:0016705,GO:0020037,GO:0055114"	"cytochrome P450, family 72, subfamily A, polypeptide 14"	"cytochrome P450 72A1, putative, expressed"
bradi1g06050.1|pacid:21815574	-2.507387309	188.7154103	0.232344468	-10.79168071	3.77E-27	1.55E-25	"GO:0004553,GO:0005975"	O-Glycosyl hydrolases family 17 protein	"glucan endo-1,3-beta-glucosidase precursor, putative, expressed"
bradi1g06120.1|pacid:21820020	1.140862453	11.99762544	0.335240296	3.403118497	0.000666214	0.002669299			expressed protein
bradi1g06300.1|pacid:21823566	-1.094340905	82.43080475	0.235950014	-4.638020089	3.52E-06	2.32E-05	"GO:0004672,GO:0005524,GO:0006468"	calmodulin-domain protein kinase cdpk isoform 2	"CAMK_CAMK_like.2 - CAMK includes calcium/calmodulin depedent protein kinases, expressed"
bradi1g06340.1|pacid:21823416	-1.899109743	2381.435352	0.150599402	-12.61034055	1.85E-36	1.17E-34	"GO:0031072,GO:0051082,GO:0006457"	DNAJ homologue 2	"chaperone protein dnaJ, putative, expressed"
bradi1g06450.1|pacid:21821541	-2.231050809	5590.337094	0.114051325	-19.56181402	3.27E-85	8.21E-83	GO:0005515	glutathione S-transferase TAU 19	"glutathione S-transferase, putative, expressed"
bradi1g06650.1|pacid:21821855	1.231425761	3.319738523	0.512524429	2.402667447	0.016275981	0.042599528		Tetratricopeptide repeat (TPR)-like superfamily protein	"PPR repeat domain containing protein, putative, expressed"
bradi1g06766.1|pacid:21822299	1.852209056	3.081795341	0.497253476	3.724879054	0.000195409	0.000894917		Tetratricopeptide repeat (TPR)-like superfamily protein	"pentatricopeptide, putative, expressed"
bradi1g06990.1|pacid:21816838	1.474386083	5.05464908	0.478226079	3.083031537	0.002049034	0.007165475			expressed protein
bradi1g06997.1|pacid:21823615	1.350881072	3.461806111	0.511530881	2.640859278	0.008269606	0.02393581		Ubiquitin carboxyl-terminal hydrolase family protein	"ubiquitin carboxyl-terminal hydrolase, family 1, putative, expressed"
bradi1g07180.1|pacid:21819268	1.330480922	34.39398597	0.337417113	3.943134087	8.04E-05	0.000404999	"GO:0004672,GO:0005524,GO:0006468,GO:0005515"	Leucine-rich receptor-like protein kinase family protein	"receptor protein kinase CLAVATA1 precursor, putative, expressed"
bradi1g07220.1|pacid:21816693	-1.434701375	110.3415434	0.232815689	-6.162391295	7.17E-10	8.23E-09		Protein of unknown function (DUF1005)	"stress-induced protein, putative, expressed"
bradi1g07300.1|pacid:21820825	1.312295877	1.845864679	0.517639645	2.535153344	0.011239811	0.031246045	GO:0003676	RNA-binding protein 1	"RNA recognition motif containing protein, putative, expressed"
bradi1g07330.1|pacid:21817743	1.473876942	11.7998987	0.374726584	3.933206248	8.38E-05	0.000420714		Uncharacterised conserved protein UCP031279	expressed protein
bradi1g07410.1|pacid:21820572	-2.39094137	11.53107723	0.417412829	-5.728001645	1.02E-08	9.97E-08	"GO:0006904,GO:0016192"	Sec1/munc18-like (SM) proteins superfamily	"Sec1 family transport protein, putative, expressed"
bradi1g07430.1|pacid:21818525	-1.832007556	86.64888176	0.194356169	-9.426032439	4.26E-21	1.28E-19		Uncharacterised protein family (UPF0497)	"membrane associated DUF588 domain containing protein, putative, expressed"
bradi1g07440.1|pacid:21822107	-2.769687993	1389.130057	0.061217548	-45.24336713	0	0		cold-regulated 413-plasma membrane 2	"cold acclimation protein WCOR413, putative, expressed"
NA	-2.64668301	404.5959601	0.135871402	-19.47932364	1.64E-84	3.97E-82			
bradi1g07457.1|pacid:21815104	-1.121922317	20.14486176	0.277268673	-4.046336374	5.20E-05	0.000273165	"GO:0004871,GO:0009416"	Phototropic-responsive NPH3 family protein	"BTBN10 - Bric-a-Brac, Tramtrack, Broad Complex BTB domain with non-phototropic hypocotyl 3 NPH3 and coiled-coil domains, expressed"
bradi1g07495.1|pacid:21821599	1.791864708	244.1745648	0.274313059	6.532188853	6.48E-11	8.44E-10			expressed protein
bradi1g07570.2|pacid:21822380	-1.594707165	791.801805	0.070496654	-22.62103344	2.69E-113	1.11E-110		Peptidase S24/S26A/S26B/S26C family protein	"OsSigP2 - Putative Type I Signal Peptidase homologue; employs a putative Ser/Lys catalytic dyad, expressed"
bradi1g07660.1|pacid:21821544	-1.146867071	117.3976285	0.313101381	-3.662925622	0.000249351	0.001113902		zinc-finger protein 2	"ZOS3-18 - C2H2 zinc finger protein, expressed"
bradi1g07680.1|pacid:21818142	-2.306160578	3.222564805	0.513407892	-4.491868187	7.06E-06	4.39E-05	"GO:0016747,GO:0008080,GO:0008152"	Acyl-CoA N-acyltransferases (NAT) superfamily protein	"HLS, putative, expressed"
bradi1g07840.1|pacid:21818381	-1.186386182	41.31859807	0.274484251	-4.322237711	1.54E-05	9.01E-05	"GO:0004252,GO:0006508,GO:0042802,GO:0043086"	Subtilase family protein	"OsSub31 - Putative Subtilisin homologue, expressed"
bradi1g07870.1|pacid:21820539	-1.48767396	307.084743	0.105633338	-14.08337543	4.81E-45	4.00E-43	GO:0003824	Protein phosphatase 2C family protein	"protein phosphatase 2C, putative, expressed"
bradi1g07890.1|pacid:21816834	-3.302153686	45.15609527	0.411389493	-8.026830387	1.00E-15	2.04E-14		Gibberellin-regulated family protein	"GASR3 - Gibberellin-regulated GASA/GAST/Snakin family protein precursor, expressed"
bradi1g07900.1|pacid:21822701	-2.352059767	3.360997172	0.511352125	-4.599687085	4.23E-06	2.75E-05		Gibberellin-regulated family protein	"GASR3 - Gibberellin-regulated GASA/GAST/Snakin family protein precursor, expressed"
bradi1g07960.1|pacid:21822374	-1.628539965	65.49397187	0.189522616	-8.592852924	8.48E-18	2.04E-16		Protein of unknown function (DUF1336)	"DUF1336 domain containing protein, expressed"
bradi1g08040.1|pacid:21822732	-1.91191677	321.7056665	0.138474198	-13.80702542	2.31E-43	1.83E-41	GO:0005515	Ankyrin repeat family protein	"26S proteasome non-ATPase regulatory subunit 10, putative, expressed"
bradi1g08120.1|pacid:21816636	-2.19437289	883.9611445	0.152763903	-14.3644725	8.65E-47	7.69E-45	"GO:0016616,GO:0051287,GO:0055114"	UDP-glucose 6-dehydrogenase family protein	"UDP-glucose 6-dehydrogenase, putative, expressed"
bradi1g08130.1|pacid:21815857	-1.084710809	15.05000244	0.2768348	-3.918260307	8.92E-05	0.000443904		COBRA-like extracellular glycosyl-phosphatidyl inositol-anchored protein family	"COBRA, putative, expressed"
bradi1g08140.1|pacid:21815650	1.848801143	1.598741001	0.523609064	3.530880709	0.000414178	0.001754527	"GO:0016758,GO:0008152"	UDP-Glycosyltransferase superfamily protein	"UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein, expressed"
bradi1g08145.1|pacid:21817631	-2.659893982	14.65560868	0.400739955	-6.637456402	3.19E-11	4.29E-10	"GO:0016758,GO:0008152"	UDP-Glycosyltransferase superfamily protein	"UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein, expressed"
bradi1g08190.1|pacid:21816498	1.468801627	469.5944641	0.124858877	11.76369403	6.00E-32	3.16E-30	"GO:0016758,GO:0008152"	UDP-Glycosyltransferase superfamily protein	"UDP-glucoronosyl and UDP-glucosyl transferase domain containing protein, expressed"
bradi1g08210.1|pacid:21818872	1.439919633	43.16535879	0.181524137	7.932386593	2.15E-15	4.28E-14		dentin sialophosphoprotein-related	expressed protein
bradi1g08280.1|pacid:21815909	-1.13406279	152.516451	0.125284677	-9.051887395	1.41E-19	3.84E-18	"GO:0005524,GO:0016887,GO:0042626,GO:0006810,GO:0055085,GO:0016021"	transporter associated with antigen processing protein 2	"ABC transporter, ATP-binding protein, putative, expressed"
bradi1g08357.1|pacid:21816019	3.364661476	52.38470424	0.380300651	8.847372386	8.96E-19	2.33E-17	"GO:0008234,GO:0006508"	senescence-associated gene 12	"cysteine protease 1 precursor, putative, expressed"
bradi1g08410.1|pacid:21820942	-1.780956129	24.00981391	0.251077985	-7.093238884	1.31E-12	2.01E-11	"GO:0046872,GO:0030001"	Heavy metal transport/detoxification superfamily protein 	"anther-specific proline-rich protein APG precursor, putative, expressed"
bradi1g08420.1|pacid:21818495	-1.105416846	78.76297692	0.145314174	-7.607082037	2.80E-14	5.06E-13	GO:0055085	oligopeptide transporter	"oligopeptide transporter, putative, expressed"
bradi1g08540.1|pacid:21822492	1.176555363	62.90798438	0.172217094	6.83181523	8.38E-12	1.19E-10	"GO:0004672,GO:0005524,GO:0006468"	Protein kinase superfamily protein	"serine/threonine-protein kinase TOUSLED, putative, expressed"
bradi1g08550.2|pacid:21821248	1.697536883	915.8721693	0.152633941	11.12162123	9.85E-29	4.43E-27	"GO:0004553,GO:0005975"	Glycosyl hydrolase family protein	"periplasmic beta-glucosidase precursor, putative, expressed"
bradi1g08570.2|pacid:21820590	-1.118745771	477.1445567	0.078774856	-14.20181305	8.93E-46	7.63E-44	"GO:0004553,GO:0005975"	Glycosyl hydrolase family protein	"periplasmic beta-glucosidase precursor, putative, expressed"
bradi1g08820.1|pacid:21815347	2.184841129	23.48167147	0.346965254	6.297002671	3.03E-10	3.66E-09		Protein of unknown function (DUF581)	expressed protein
bradi1g08830.1|pacid:21823427	1.392061988	87.07147807	0.165396406	8.416518952	3.88E-17	8.95E-16	GO:0005515	Transducin/WD40 repeat-like superfamily protein	"WD domain, G-beta repeat domain containing protein, expressed"
bradi1g08890.1|pacid:21823259	-3.299034624	14.15981366	0.401577576	-8.21518635	2.12E-16	4.59E-15	"GO:0003700,GO:0043565,GO:0006355,GO:0005634"	heat shock transcription factor A2	"HSF-type DNA-binding domain containing protein, expressed"
bradi1g08990.1|pacid:21819735	1.050889571	187.857374	0.115197883	9.122472981	7.34E-20	2.04E-18	"GO:0004672,GO:0005524,GO:0006468"	receptor lectin kinase	"lectin-like receptor kinase, putative, expressed"
bradi1g09010.1|pacid:21822683	-2.208042273	55.89808743	0.247264826	-8.929868052	4.27E-19	1.13E-17	"GO:0006511,GO:0007275,GO:0005634"	Protein with RING/U-box and TRAF-like domains	expressed protein
bradi1g09040.1|pacid:21820936	-3.012876104	87.60986853	0.246589419	-12.2181889	2.49E-34	1.44E-32		calmodulin 4	"OsCML4 - Calmodulin-related calcium sensor protein, expressed"
bradi1g09240.1|pacid:21821287	-2.80697242	22.75215601	0.340510746	-8.243418017	1.67E-16	3.65E-15		Uncharacterised protein family (UPF0114)	"uncharacterized UPF0114 domain containing protein, expressed"
bradi1g09320.1|pacid:21823374	1.490901366	47.76089502	0.178339939	8.359884925	6.28E-17	1.41E-15	GO:0005515	Transducin/WD40 repeat-like superfamily protein	"phosphatidylinositol kinase, putative, expressed"
bradi1g09400.1|pacid:21816437	1.250402775	1253.609763	0.115799629	10.79798601	3.52E-27	1.45E-25	GO:0005515	Cystathionine beta-synthase (CBS) family protein	"CBS domain containing membrane protein, putative, expressed"
bradi1g09487.1|pacid:21816463	-1.185468693	9.888884278	0.358642192	-3.305435663	0.000948289	0.00364123	"GO:0004867,GO:0009611"	"Serine protease inhibitor, potato inhibitor I-type family protein"	"inhibitor I family protein, putative, expressed"
bradi1g09770.1|pacid:21821233	-1.055258148	20.61694496	0.306677414	-3.440938584	0.0005797	0.00236376	"GO:0008375,GO:0016020"	"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein"	"DNA binding protein, putative, expressed"
bradi1g09990.1|pacid:21820277	1.102212642	24.64908168	0.253675549	4.344969976	1.39E-05	8.20E-05		Tetratricopeptide repeat (TPR)-like superfamily protein	"PPR repeat containing protein, expressed"
bradi1g10140.1|pacid:21819628	1.313727912	987.2746723	0.140753549	9.333533147	1.02E-20	2.99E-19	"GO:0000287,GO:0005524,GO:0047325,GO:0032957,GO:0005622,GO:0052725,GO:0052726,GO:0035300"	"Inositol 1,3,4-trisphosphate 5/6-kinase family protein"	"Inositol 1, 3, 4-trisphosphate 5/6-kinase, putative, expressed"
bradi1g10170.1|pacid:21821486	-1.387726359	68.36592071	0.263338974	-5.269734046	1.37E-07	1.13E-06	"GO:0030528,GO:0006355"	basic helix-loop-helix (bHLH) DNA-binding superfamily protein	"helix-loop-helix DNA-binding domain containing protein, expressed"
bradi1g10190.1|pacid:21819371	1.569363613	36.58662359	0.201324409	7.795197899	6.43E-15	1.23E-13	"GO:0016787,GO:0016788,GO:0006397"	debranching enzyme 1	
bradi1g10230.1|pacid:21817195	1.254686265	0.913312567	0.501665948	2.501039325	0.012382943	0.033858782	GO:0005737	Maf-like protein	"maf, putative, expressed"
bradi1g10270.1|pacid:21822141	-1.3173732	12.88813337	0.346823033	-3.798401702	0.000145632	0.000687116		Sec14p-like phosphatidylinositol transfer family protein	"SEC14 cytosolic factor family protein, putative, expressed"
bradi1g10300.1|pacid:21819789	1.191396739	37.65291255	0.31507897	3.781263916	0.000156034	0.000730629		BTB/POZ domain-containing protein	expressed protein
bradi1g10330.1|pacid:21820578	-3.504664462	21.91480469	0.402264728	-8.712333485	2.98E-18	7.38E-17		GRAS family transcription factor	"GRAS family transcription factor domain containing protein, expressed"
bradi1g10347.1|pacid:21820789	-2.264675456	48.34941148	0.227720237	-9.944989882	2.65E-23	8.92E-22	"GO:0004553,GO:0005975"	O-Glycosyl hydrolases family 17 protein	"glycosyl hydrolases family 17, putative, expressed"
