seqname,source,feature,start,end,score,strand,frame,attribute,CRT
Bd1,phytozome9_0,gene,565638,570467,.,+,.,Bradi1g00760,1
Bd1,phytozome9_0,gene,577726,579029,.,-,.,Bradi1g00770,0
Bd1,phytozome9_0,gene,579859,581594,.,-,.,Bradi1g00780,1
Bd1,phytozome9_0,gene,586495,588596,.,-,.,Bradi1g00790,0
Bd1,phytozome9_0,gene,590133,590924,.,-,.,Bradi1g00800,2
Bd1,phytozome9_0,gene,591502,592877,.,-,.,Bradi1g00807,2
Bd1,phytozome9_0,gene,594037,597877,.,-,.,Bradi1g00820,2
Bd1,phytozome9_0,gene,599949,602041,.,+,.,Bradi1g00830,1
Bd1,phytozome9_0,gene,605902,607863,.,+,.,Bradi1g00840,1
Bd1,phytozome9_0,gene,610970,615963,.,-,.,Bradi1g00847,1
Bd1,phytozome9_0,gene,616224,621155,.,-,.,Bradi1g00860,0
Bd1,phytozome9_0,gene,621420,622308,.,+,.,Bradi1g00867,1
Bd1,phytozome9_0,gene,623143,623742,.,+,.,Bradi1g00880,1
Bd1,phytozome9_0,gene,625801,634726,.,+,.,Bradi1g00887,0
Bd1,phytozome9_0,gene,637592,638629,.,-,.,Bradi1g00900,1
Bd1,phytozome9_0,gene,641380,642212,.,+,.,Bradi1g00910,1
Bd1,phytozome9_0,gene,643678,644861,.,-,.,Bradi1g00920,1
Bd1,phytozome9_0,gene,646726,648745,.,+,.,Bradi1g00930,1
Bd1,phytozome9_0,gene,649583,652456,.,+,.,Bradi1g00940,1
Bd1,phytozome9_0,gene,659999,661553,.,+,.,Bradi1g00950,0
Bd1,phytozome9_0,gene,672678,678601,.,-,.,Bradi1g00960,0
Bd1,phytozome9_0,gene,682482,683291,.,+,.,Bradi1g00970,0
Bd1,phytozome9_0,gene,683374,684925,.,-,.,Bradi1g00980,0
Bd1,phytozome9_0,gene,685588,691368,.,-,.,Bradi1g00990,2
Bd1,phytozome9_0,gene,694578,696333,.,+,.,Bradi1g01000,2
Bd1,phytozome9_0,gene,695876,702209,.,-,.,Bradi1g01007,2
Bd1,phytozome9_0,gene,703492,705801,.,-,.,Bradi1g01014,2
Bd1,phytozome9_0,gene,706038,708663,.,-,.,Bradi1g01021,1
Bd1,phytozome9_0,gene,709517,709750,.,-,.,Bradi1g01030,0
Bd1,phytozome9_0,gene,710464,714401,.,+,.,Bradi1g01040,2
Bd1,phytozome9_0,gene,716725,719957,.,-,.,Bradi1g01047,0
Bd1,phytozome9_0,gene,723127,723493,.,-,.,Bradi1g01060,0
Bd1,phytozome9_0,gene,731493,733959,.,-,.,Bradi1g01070,2
Bd1,phytozome9_0,gene,744088,744829,.,+,.,Bradi1g01080,1
Bd1,phytozome9_0,gene,745282,749088,.,-,.,Bradi1g01090,0
Bd1,phytozome9_0,gene,749903,752271,.,-,.,Bradi1g01100,0
Bd1,phytozome9_0,gene,752513,756241,.,+,.,Bradi1g01110,0
Bd1,phytozome9_0,gene,756392,757112,.,-,.,Bradi1g01120,0
Bd1,phytozome9_0,gene,758757,763396,.,+,.,Bradi1g01130,0
Bd1,phytozome9_0,gene,764088,767289,.,+,.,Bradi1g01140,0
Bd1,phytozome9_0,gene,767475,768810,.,-,.,Bradi1g01150,0
Bd1,phytozome9_0,gene,770537,771094,.,+,.,Bradi1g01160,1
Bd1,phytozome9_0,gene,771227,777674,.,-,.,Bradi1g01170,1
Bd1,phytozome9_0,gene,799120,801659,.,+,.,Bradi1g01180,0
Bd1,phytozome9_0,gene,803024,804595,.,+,.,Bradi1g01190,0
Bd1,phytozome9_0,gene,804996,808125,.,-,.,Bradi1g01200,2
Bd1,phytozome9_0,gene,818291,820934,.,+,.,Bradi1g01210,1
Bd1,phytozome9_0,gene,819972,823590,.,-,.,Bradi1g01220,1
Bd1,phytozome9_0,gene,825624,828017,.,+,.,Bradi1g01227,1
Bd1,phytozome9_0,gene,828717,831144,.,-,.,Bradi1g01240,1
Bd1,phytozome9_0,gene,831228,836715,.,-,.,Bradi1g01250,1
Bd1,phytozome9_0,gene,843158,847380,.,-,.,Bradi1g01257,1
Bd1,phytozome9_0,gene,849415,851818,.,-,.,Bradi1g01270,0
Bd1,phytozome9_0,gene,853354,855406,.,-,.,Bradi1g01280,0
Bd1,phytozome9_0,gene,855651,859624,.,-,.,Bradi1g01290,1
Bd1,phytozome9_0,gene,861268,866307,.,+,.,Bradi1g01300,0
Bd1,phytozome9_0,gene,867639,868806,.,-,.,Bradi1g01310,1
Bd1,phytozome9_0,gene,869129,871242,.,-,.,Bradi1g01320,1
Bd1,phytozome9_0,gene,871738,873509,.,+,.,Bradi1g01330,2
Bd1,phytozome9_0,gene,880773,882554,.,+,.,Bradi1g01340,0
Bd1,phytozome9_0,gene,903156,905383,.,-,.,Bradi1g01350,1
Bd1,phytozome9_0,gene,906504,909311,.,-,.,Bradi1g01360,0
Bd1,phytozome9_0,gene,914254,915859,.,-,.,Bradi1g01365,0
Bd1,phytozome9_0,gene,916889,917695,.,-,.,Bradi1g01370,1
Bd1,phytozome9_0,gene,920907,926091,.,+,.,Bradi1g01377,1
Bd1,phytozome9_0,gene,928529,932276,.,+,.,Bradi1g01387,0
Bd1,phytozome9_0,gene,934542,936123,.,+,.,Bradi1g01397,0
Bd1,phytozome9_0,gene,936810,940782,.,+,.,Bradi1g01407,0
Bd1,phytozome9_0,gene,941308,947206,.,+,.,Bradi1g01420,1
Bd1,phytozome9_0,gene,947594,948542,.,-,.,Bradi1g01430,0
Bd1,phytozome9_0,gene,947439,950996,.,-,.,Bradi1g01436,2
Bd1,phytozome9_0,gene,951447,955161,.,-,.,Bradi1g01442,4
Bd1,phytozome9_0,gene,955737,956957,.,-,.,Bradi1g01450,2
Bd1,phytozome9_0,gene,959794,962429,.,-,.,Bradi1g01460,1
Bd1,phytozome9_0,gene,965514,967584,.,-,.,Bradi1g01470,1
Bd1,phytozome9_0,gene,968307,970117,.,-,.,Bradi1g01480,0
Bd1,phytozome9_0,gene,971211,975987,.,-,.,Bradi1g01487,1
Bd1,phytozome9_0,gene,976919,979161,.,-,.,Bradi1g01500,1
Bd1,phytozome9_0,gene,979652,984964,.,-,.,Bradi1g01507,0
Bd1,phytozome9_0,gene,987539,989817,.,-,.,Bradi1g01520,2
Bd1,phytozome9_0,gene,990927,995301,.,-,.,Bradi1g01530,2
Bd1,phytozome9_0,gene,996230,1002787,.,-,.,Bradi1g01540,1
Bd1,phytozome9_0,gene,1009852,1013264,.,-,.,Bradi1g01550,0
Bd1,phytozome9_0,gene,1023271,1027543,.,+,.,Bradi1g01560,1
Bd1,phytozome9_0,gene,1028010,1030477,.,-,.,Bradi1g01570,1
Bd1,phytozome9_0,gene,1030837,1034525,.,+,.,Bradi1g01580,0
Bd1,phytozome9_0,gene,1036731,1037327,.,+,.,Bradi1g01590,2
Bd1,phytozome9_0,gene,1048854,1050139,.,+,.,Bradi1g01595,2
Bd1,phytozome9_0,gene,1056520,1058137,.,-,.,Bradi1g01600,0
Bd1,phytozome9_0,gene,1059755,1060220,.,-,.,Bradi1g01610,2
Bd1,phytozome9_0,gene,1061773,1063747,.,+,.,Bradi1g01620,0
Bd1,phytozome9_0,gene,1065581,1068009,.,+,.,Bradi1g01630,2
Bd1,phytozome9_0,gene,1073243,1076475,.,+,.,Bradi1g01640,2
Bd1,phytozome9_0,gene,1083924,1085900,.,+,.,Bradi1g01650,1
Bd1,phytozome9_0,gene,1091182,1091843,.,-,.,Bradi1g01655,0
Bd1,phytozome9_0,gene,1101483,1102941,.,-,.,Bradi1g01660,1
Bd1,phytozome9_0,gene,1103902,1107573,.,+,.,Bradi1g01670,2
Bd1,phytozome9_0,gene,1108466,1109386,.,-,.,Bradi1g01680,1
Bd1,phytozome9_0,gene,1119504,1121373,.,-,.,Bradi1g01690,2
Bd1,phytozome9_0,gene,1133657,1135870,.,-,.,Bradi1g01700,0
Bd1,phytozome9_0,gene,1136699,1139885,.,+,.,Bradi1g01710,0
Bd1,phytozome9_0,gene,1140589,1143254,.,-,.,Bradi1g01720,2
Bd1,phytozome9_0,gene,1145225,1147695,.,+,.,Bradi1g01730,0
Bd1,phytozome9_0,gene,1148289,1153606,.,-,.,Bradi1g01740,2
Bd1,phytozome9_0,gene,1159165,1162256,.,+,.,Bradi1g01750,2
Bd1,phytozome9_0,gene,1166736,1168445,.,+,.,Bradi1g01760,0
Bd1,phytozome9_0,gene,1168781,1173162,.,+,.,Bradi1g01770,1
Bd1,phytozome9_0,gene,1172891,1174014,.,-,.,Bradi1g01780,0
Bd1,phytozome9_0,gene,1179136,1179888,.,-,.,Bradi1g01790,2
Bd1,phytozome9_0,gene,1190190,1198333,.,+,.,Bradi1g01800,1
Bd1,phytozome9_0,gene,1215546,1216043,.,+,.,Bradi1g01805,1
Bd1,phytozome9_0,gene,1220624,1222150,.,+,.,Bradi1g01810,1
Bd1,phytozome9_0,gene,1224569,1225118,.,-,.,Bradi1g01820,0
Bd1,phytozome9_0,gene,1229188,1234616,.,-,.,Bradi1g01830,0
Bd1,phytozome9_0,gene,1238491,1243216,.,-,.,Bradi1g01840,1
Bd1,phytozome9_0,gene,1247819,1256246,.,+,.,Bradi1g01847,1
Bd1,phytozome9_0,gene,1260271,1263228,.,+,.,Bradi1g01860,0
Bd1,phytozome9_0,gene,1264229,1265740,.,+,.,Bradi1g01870,1
Bd1,phytozome9_0,gene,1280703,1283762,.,+,.,Bradi1g01880,1
Bd1,phytozome9_0,gene,1284776,1285949,.,+,.,Bradi1g01890,0
Bd1,phytozome9_0,gene,1286516,1294114,.,+,.,Bradi1g01900,0
Bd1,phytozome9_0,gene,1294833,1295186,.,-,.,Bradi1g01910,0
Bd1,phytozome9_0,gene,1296223,1299456,.,+,.,Bradi1g01920,0
Bd1,phytozome9_0,gene,1300106,1302506,.,-,.,Bradi1g01930,1
Bd1,phytozome9_0,gene,1307435,1313677,.,+,.,Bradi1g01936,1
Bd1,phytozome9_0,gene,1316222,1320456,.,+,.,Bradi1g01942,0
Bd1,phytozome9_0,gene,1325534,1325986,.,+,.,Bradi1g01950,0
Bd1,phytozome9_0,gene,1326994,1328979,.,-,.,Bradi1g01960,2
Bd1,phytozome9_0,gene,1331427,1332000,.,+,.,Bradi1g01965,1
Bd1,phytozome9_0,gene,1333074,1335161,.,-,.,Bradi1g01970,0
Bd1,phytozome9_0,gene,1335404,1339644,.,+,.,Bradi1g01980,1
Bd1,phytozome9_0,gene,1345732,1348603,.,-,.,Bradi1g01990,2
Bd1,phytozome9_0,gene,1349621,1355896,.,-,.,Bradi1g02000,0
Bd1,phytozome9_0,gene,1358342,1360036,.,+,.,Bradi1g02010,0
Bd1,phytozome9_0,gene,1360999,1367258,.,+,.,Bradi1g02020,0
Bd1,phytozome9_0,gene,1367924,1369217,.,-,.,Bradi1g02030,0
Bd1,phytozome9_0,gene,1369758,1371137,.,+,.,Bradi1g02040,0
Bd1,phytozome9_0,gene,1376363,1382185,.,-,.,Bradi1g02050,3
Bd1,phytozome9_0,gene,1397780,1400449,.,+,.,Bradi1g02060,0
Bd1,phytozome9_0,gene,1412385,1413890,.,+,.,Bradi1g02070,2
Bd1,phytozome9_0,gene,1415641,1418823,.,+,.,Bradi1g02080,0
Bd1,phytozome9_0,gene,1419315,1421725,.,-,.,Bradi1g02090,1
Bd1,phytozome9_0,gene,1426323,1428092,.,+,.,Bradi1g02100,1
Bd1,phytozome9_0,gene,1434336,1436503,.,+,.,Bradi1g02107,1
Bd1,phytozome9_0,gene,1437315,1439508,.,-,.,Bradi1g02117,1
Bd1,phytozome9_0,gene,1439877,1442157,.,-,.,Bradi1g02130,2
Bd1,phytozome9_0,gene,1451829,1453803,.,-,.,Bradi1g02140,1
Bd1,phytozome9_0,gene,1454962,1458926,.,-,.,Bradi1g02145,0
Bd1,phytozome9_0,gene,1460089,1464617,.,+,.,Bradi1g02150,0
Bd1,phytozome9_0,gene,1466945,1471268,.,+,.,Bradi1g02160,1
Bd1,phytozome9_0,gene,1474505,1477060,.,-,.,Bradi1g02170,0
Bd1,phytozome9_0,gene,1480065,1483059,.,-,.,Bradi1g02180,2
Bd1,phytozome9_0,gene,1489657,1491571,.,-,.,Bradi1g02190,0
Bd1,phytozome9_0,gene,1492990,1493415,.,-,.,Bradi1g02200,0
Bd1,phytozome9_0,gene,1502001,1505317,.,+,.,Bradi1g02210,0
Bd1,phytozome9_0,gene,1507411,1510882,.,+,.,Bradi1g02220,2
Bd1,phytozome9_0,gene,1511526,1514488,.,+,.,Bradi1g02230,0
Bd1,phytozome9_0,gene,1515812,1520993,.,-,.,Bradi1g02240,0
Bd1,phytozome9_0,gene,1524952,1529174,.,-,.,Bradi1g02247,1
Bd1,phytozome9_0,gene,1531193,1534116,.,+,.,Bradi1g02260,1
Bd1,phytozome9_0,gene,1533203,1536707,.,-,.,Bradi1g02270,0
Bd1,phytozome9_0,gene,1552024,1556551,.,+,.,Bradi1g02280,0
Bd1,phytozome9_0,gene,1557876,1560815,.,-,.,Bradi1g02290,0
Bd1,phytozome9_0,gene,1563657,1564112,.,+,.,Bradi1g02300,1
Bd1,phytozome9_0,gene,1566285,1580840,.,+,.,Bradi1g02310,0
Bd1,phytozome9_0,gene,1580840,1582503,.,-,.,Bradi1g02327,0
Bd1,phytozome9_0,gene,1592159,1594428,.,+,.,Bradi1g02350,1
Bd1,phytozome9_0,gene,1609544,1611415,.,+,.,Bradi1g02360,2
Bd1,phytozome9_0,gene,1619498,1622476,.,-,.,Bradi1g02370,1
Bd1,phytozome9_0,gene,1628507,1632782,.,+,.,Bradi1g02380,1
Bd1,phytozome9_0,gene,1633683,1636324,.,+,.,Bradi1g02390,0
Bd1,phytozome9_0,gene,1637772,1639387,.,+,.,Bradi1g02400,0
Bd1,phytozome9_0,gene,1640336,1641538,.,-,.,Bradi1g02410,1
Bd1,phytozome9_0,gene,1645207,1647645,.,+,.,Bradi1g02420,1
Bd1,phytozome9_0,gene,1648277,1648852,.,+,.,Bradi1g02430,2
Bd1,phytozome9_0,gene,1652466,1655054,.,+,.,Bradi1g02440,1
Bd1,phytozome9_0,gene,1656928,1661959,.,-,.,Bradi1g02450,2
Bd1,phytozome9_0,gene,1662868,1665636,.,+,.,Bradi1g02460,2
Bd1,phytozome9_0,gene,1667508,1668155,.,-,.,Bradi1g02470,2
Bd1,phytozome9_0,gene,1677860,1679769,.,-,.,Bradi1g02480,1
Bd1,phytozome9_0,gene,1687390,1692440,.,+,.,Bradi1g02490,1
Bd1,phytozome9_0,gene,1692889,1694908,.,-,.,Bradi1g02500,0
Bd1,phytozome9_0,gene,1695336,1698026,.,+,.,Bradi1g02505,1
Bd1,phytozome9_0,gene,1701554,1706571,.,-,.,Bradi1g02510,0
Bd1,phytozome9_0,gene,1711069,1715976,.,+,.,Bradi1g02517,0
Bd1,phytozome9_0,gene,1716617,1717939,.,-,.,Bradi1g02530,0
Bd1,phytozome9_0,gene,1722809,1723808,.,+,.,Bradi1g02540,0
Bd1,phytozome9_0,gene,1724262,1724896,.,-,.,Bradi1g02550,1
Bd1,phytozome9_0,gene,1725935,1726897,.,-,.,Bradi1g02560,1
Bd1,phytozome9_0,gene,1728243,1731502,.,+,.,Bradi1g02570,2
Bd1,phytozome9_0,gene,1731834,11621043,.,-,.,Bradi1g02575,0
Bd1,phytozome9_0,gene,1739141,1740535,.,+,.,Bradi1g02580,0
Bd1,phytozome9_0,gene,1741308,1744018,.,-,.,Bradi1g02590,0
Bd1,phytozome9_0,gene,1744849,1751278,.,-,.,Bradi1g02597,1
Bd1,phytozome9_0,gene,1753245,1761751,.,+,.,Bradi1g02610,0
Bd1,phytozome9_0,gene,1770538,1779238,.,+,.,Bradi1g02620,0
Bd1,phytozome9_0,gene,1779640,1782939,.,-,.,Bradi1g02630,1
Bd1,phytozome9_0,gene,1788610,1789221,.,-,.,Bradi1g02640,2
Bd1,phytozome9_0,gene,1797192,1797773,.,-,.,Bradi1g02650,0
Bd1,phytozome9_0,gene,1803256,1804084,.,+,.,Bradi1g02660,0
Bd1,phytozome9_0,gene,1804556,1806147,.,+,.,Bradi1g02670,0
Bd1,phytozome9_0,gene,1807882,1811412,.,-,.,Bradi1g02680,0
Bd1,phytozome9_0,gene,1815777,1817536,.,-,.,Bradi1g02690,0
Bd1,phytozome9_0,gene,1818843,1824514,.,-,.,Bradi1g02697,0
Bd1,phytozome9_0,gene,1825869,1828469,.,+,.,Bradi1g02710,0
Bd1,phytozome9_0,gene,1828877,1832625,.,-,.,Bradi1g02720,2
Bd1,phytozome9_0,gene,1838373,1840828,.,+,.,Bradi1g02730,2
Bd1,phytozome9_0,gene,1847216,1849666,.,+,.,Bradi1g02740,0
Bd1,phytozome9_0,gene,1849454,1851695,.,-,.,Bradi1g02750,1
Bd1,phytozome9_0,gene,1858041,1863792,.,+,.,Bradi1g02760,1
Bd1,phytozome9_0,gene,1865399,1872743,.,-,.,Bradi1g02770,0
Bd1,phytozome9_0,gene,1873822,1876744,.,-,.,Bradi1g02780,1
Bd1,phytozome9_0,gene,1877711,1878532,.,-,.,Bradi1g02790,0
Bd1,phytozome9_0,gene,1887336,1891576,.,+,.,Bradi1g02800,1
Bd1,phytozome9_0,gene,1892161,1893109,.,-,.,Bradi1g02803,1
Bd1,phytozome9_0,gene,1895296,1896210,.,-,.,Bradi1g02806,0
Bd1,phytozome9_0,gene,1898919,1904384,.,-,.,Bradi1g02810,0
Bd1,phytozome9_0,gene,1920783,1922080,.,+,.,Bradi1g02820,0
Bd1,phytozome9_0,gene,1922706,1925673,.,-,.,Bradi1g02830,0
Bd1,phytozome9_0,gene,1926201,1931670,.,-,.,Bradi1g02840,0
Bd1,phytozome9_0,gene,1937097,1938216,.,-,.,Bradi1g02847,1
Bd1,phytozome9_0,gene,1943963,1944715,.,+,.,Bradi1g02860,1
Bd1,phytozome9_0,gene,1946002,1947165,.,-,.,Bradi1g02870,1
Bd1,phytozome9_0,gene,1948028,1951599,.,-,.,Bradi1g02880,0
Bd1,phytozome9_0,gene,1952073,1955799,.,-,.,Bradi1g02890,1
Bd1,phytozome9_0,gene,1956588,1959833,.,-,.,Bradi1g02900,2
Bd1,phytozome9_0,gene,1962128,1967300,.,-,.,Bradi1g02910,2
Bd1,phytozome9_0,gene,1968283,1970836,.,-,.,Bradi1g02920,1
Bd1,phytozome9_0,gene,1972632,1974682,.,+,.,Bradi1g02930,2
Bd1,phytozome9_0,gene,1976431,1979871,.,+,.,Bradi1g02940,1
Bd1,phytozome9_0,gene,1983498,1986278,.,-,.,Bradi1g02950,0
Bd1,phytozome9_0,gene,1988462,1990663,.,-,.,Bradi1g02960,0
Bd1,phytozome9_0,gene,1991786,1994138,.,-,.,Bradi1g02970,0
Bd1,phytozome9_0,gene,1995134,1998453,.,-,.,Bradi1g02980,2
Bd1,phytozome9_0,gene,2003410,2006131,.,+,.,Bradi1g02990,2
Bd1,phytozome9_0,gene,2006778,2007014,.,-,.,Bradi1g03000,0
Bd1,phytozome9_0,gene,2007893,2011740,.,-,.,Bradi1g03010,1
Bd1,phytozome9_0,gene,2014552,2015206,.,-,.,Bradi1g03020,1
Bd1,phytozome9_0,gene,2018316,2023056,.,+,.,Bradi1g03030,1
Bd1,phytozome9_0,gene,2023426,2025075,.,-,.,Bradi1g03040,0
Bd1,phytozome9_0,gene,2027988,2032979,.,+,.,Bradi1g03050,0
Bd1,phytozome9_0,gene,2034552,2035766,.,-,.,Bradi1g03060,1
Bd1,phytozome9_0,gene,2037903,2038538,.,+,.,Bradi1g03070,1
Bd1,phytozome9_0,gene,2039878,2040555,.,+,.,Bradi1g03080,2
Bd1,phytozome9_0,gene,2043893,2044467,.,+,.,Bradi1g03090,1
Bd1,phytozome9_0,gene,2046035,2046679,.,+,.,Bradi1g03100,1
Bd1,phytozome9_0,gene,2053325,2056394,.,+,.,Bradi1g03110,0
Bd1,phytozome9_0,gene,2057532,2060218,.,+,.,Bradi1g03120,0
Bd1,phytozome9_0,gene,2059674,2063036,.,-,.,Bradi1g03130,0
Bd1,phytozome9_0,gene,2067978,2069366,.,+,.,Bradi1g03136,0
Bd1,phytozome9_0,gene,2072775,2075138,.,+,.,Bradi1g03142,0
Bd1,phytozome9_0,gene,2077995,2080741,.,-,.,Bradi1g03150,0
Bd1,phytozome9_0,gene,2081852,2084837,.,+,.,Bradi1g03160,0
Bd1,phytozome9_0,gene,2084849,2087814,.,-,.,Bradi1g03170,0
Bd1,phytozome9_0,gene,2091116,2098713,.,+,.,Bradi1g03180,1
Bd1,phytozome9_0,gene,2103086,2103722,.,+,.,Bradi1g03185,0
Bd1,phytozome9_0,gene,2108797,2110778,.,-,.,Bradi1g03190,1
Bd1,phytozome9_0,gene,2113103,2116965,.,-,.,Bradi1g03200,3
Bd1,phytozome9_0,gene,2118309,2120063,.,-,.,Bradi1g03207,0
Bd1,phytozome9_0,gene,2124331,2127022,.,-,.,Bradi1g03220,0
Bd1,phytozome9_0,gene,2128838,2129821,.,+,.,Bradi1g03230,1
Bd1,phytozome9_0,gene,2143004,2144020,.,-,.,Bradi1g03240,0
Bd1,phytozome9_0,gene,2148053,2151452,.,-,.,Bradi1g03250,0
Bd1,phytozome9_0,gene,2155277,2160349,.,+,.,Bradi1g03260,0
Bd1,phytozome9_0,gene,2161227,2165998,.,-,.,Bradi1g03270,1
Bd1,phytozome9_0,gene,2167723,2172413,.,+,.,Bradi1g03277,0
Bd1,phytozome9_0,gene,2174361,2177023,.,+,.,Bradi1g03290,1
Bd1,phytozome9_0,gene,2177487,2177921,.,+,.,Bradi1g03300,1
Bd1,phytozome9_0,gene,2178969,2180192,.,-,.,Bradi1g03307,0
Bd1,phytozome9_0,gene,2183582,2187015,.,-,.,Bradi1g03320,0
Bd1,phytozome9_0,gene,2191397,2194624,.,-,.,Bradi1g03330,1
Bd1,phytozome9_0,gene,2196115,2196627,.,+,.,Bradi1g03340,1
Bd1,phytozome9_0,gene,2197363,2200001,.,-,.,Bradi1g03350,1
Bd1,phytozome9_0,gene,2203534,2206307,.,-,.,Bradi1g03360,1
Bd1,phytozome9_0,gene,2209475,2211501,.,+,.,Bradi1g03367,0
Bd1,phytozome9_0,gene,2211609,2218845,.,-,.,Bradi1g03380,1
Bd1,phytozome9_0,gene,2220442,2222263,.,+,.,Bradi1g03390,1
Bd1,phytozome9_0,gene,2222756,2225828,.,-,.,Bradi1g03400,0
Bd1,phytozome9_0,gene,2225967,2228481,.,+,.,Bradi1g03410,1
Bd1,phytozome9_0,gene,2228851,2234125,.,-,.,Bradi1g03420,0
Bd1,phytozome9_0,gene,2249266,2251632,.,+,.,Bradi1g03430,2
Bd1,phytozome9_0,gene,2275736,2278916,.,-,.,Bradi1g03440,0
Bd1,phytozome9_0,gene,2279083,2283699,.,+,.,Bradi1g03450,1
Bd1,phytozome9_0,gene,2283962,2284240,.,+,.,Bradi1g03460,0
Bd1,phytozome9_0,gene,2286167,2289632,.,+,.,Bradi1g03470,0
Bd1,phytozome9_0,gene,2291604,2294095,.,-,.,Bradi1g03475,0
Bd1,phytozome9_0,gene,2298338,2302362,.,+,.,Bradi1g03480,0
Bd1,phytozome9_0,gene,2314938,2315927,.,+,.,Bradi1g03485,1
Bd1,phytozome9_0,gene,2317250,2319888,.,+,.,Bradi1g03490,0
Bd1,phytozome9_0,gene,2328359,2330448,.,+,.,Bradi1g03500,2
Bd1,phytozome9_0,gene,2335760,2336651,.,+,.,Bradi1g03510,2
