seqname,source,feature,start,end,score,strand,frame,attribute,motif
Bd1,phytozome9_0,gene,731493,733959,.,-,.,Bradi1g01070,2
Bd1,phytozome9_0,gene,744088,744829,.,+,.,Bradi1g01080,1
Bd1,phytozome9_0,gene,770537,771094,.,+,.,Bradi1g01160,1
Bd1,phytozome9_0,gene,771227,777674,.,-,.,Bradi1g01170,1
Bd1,phytozome9_0,gene,804996,808125,.,-,.,Bradi1g01200,2
Bd1,phytozome9_0,gene,818291,820934,.,+,.,Bradi1g01210,1
Bd1,phytozome9_0,gene,819972,823590,.,-,.,Bradi1g01220,1
Bd1,phytozome9_0,gene,825624,828017,.,+,.,Bradi1g01227,1
Bd1,phytozome9_0,gene,828717,831144,.,-,.,Bradi1g01240,1
Bd1,phytozome9_0,gene,831228,836715,.,-,.,Bradi1g01250,1
Bd1,phytozome9_0,gene,843158,847380,.,-,.,Bradi1g01257,1
Bd1,phytozome9_0,gene,855651,859624,.,-,.,Bradi1g01290,1
Bd1,phytozome9_0,gene,867639,868806,.,-,.,Bradi1g01310,1
Bd1,phytozome9_0,gene,869129,871242,.,-,.,Bradi1g01320,1
Bd1,phytozome9_0,gene,871738,873509,.,+,.,Bradi1g01330,2
Bd1,phytozome9_0,gene,903156,905383,.,-,.,Bradi1g01350,1
Bd1,phytozome9_0,gene,916889,917695,.,-,.,Bradi1g01370,1
Bd1,phytozome9_0,gene,920907,926091,.,+,.,Bradi1g01377,1
Bd1,phytozome9_0,gene,941308,947206,.,+,.,Bradi1g01420,1
Bd1,phytozome9_0,gene,947439,950996,.,-,.,Bradi1g01436,2
Bd1,phytozome9_0,gene,951447,955161,.,-,.,Bradi1g01442,4
Bd1,phytozome9_0,gene,955737,956957,.,-,.,Bradi1g01450,2
Bd1,phytozome9_0,gene,959794,962429,.,-,.,Bradi1g01460,1
Bd1,phytozome9_0,gene,965514,967584,.,-,.,Bradi1g01470,1
Bd1,phytozome9_0,gene,971211,975987,.,-,.,Bradi1g01487,1
Bd1,phytozome9_0,gene,976919,979161,.,-,.,Bradi1g01500,1
Bd1,phytozome9_0,gene,987539,989817,.,-,.,Bradi1g01520,2
Bd1,phytozome9_0,gene,990927,995301,.,-,.,Bradi1g01530,2
Bd1,phytozome9_0,gene,996230,1002787,.,-,.,Bradi1g01540,1
Bd1,phytozome9_0,gene,1023271,1027543,.,+,.,Bradi1g01560,1
Bd1,phytozome9_0,gene,1028010,1030477,.,-,.,Bradi1g01570,1
Bd1,phytozome9_0,gene,1036731,1037327,.,+,.,Bradi1g01590,2
Bd1,phytozome9_0,gene,1048854,1050139,.,+,.,Bradi1g01595,2
Bd1,phytozome9_0,gene,1059755,1060220,.,-,.,Bradi1g01610,2
Bd1,phytozome9_0,gene,1065581,1068009,.,+,.,Bradi1g01630,2
Bd1,phytozome9_0,gene,1073243,1076475,.,+,.,Bradi1g01640,2
Bd1,phytozome9_0,gene,1083924,1085900,.,+,.,Bradi1g01650,1
Bd1,phytozome9_0,gene,1101483,1102941,.,-,.,Bradi1g01660,1
Bd1,phytozome9_0,gene,1103902,1107573,.,+,.,Bradi1g01670,2
Bd1,phytozome9_0,gene,1108466,1109386,.,-,.,Bradi1g01680,1
Bd1,phytozome9_0,gene,1119504,1121373,.,-,.,Bradi1g01690,2
Bd1,phytozome9_0,gene,1140589,1143254,.,-,.,Bradi1g01720,2
Bd1,phytozome9_0,gene,1148289,1153606,.,-,.,Bradi1g01740,2
Bd1,phytozome9_0,gene,1159165,1162256,.,+,.,Bradi1g01750,2
Bd1,phytozome9_0,gene,1168781,1173162,.,+,.,Bradi1g01770,1
Bd1,phytozome9_0,gene,1179136,1179888,.,-,.,Bradi1g01790,2
Bd1,phytozome9_0,gene,1190190,1198333,.,+,.,Bradi1g01800,1
Bd1,phytozome9_0,gene,1215546,1216043,.,+,.,Bradi1g01805,1
Bd1,phytozome9_0,gene,1220624,1222150,.,+,.,Bradi1g01810,1
Bd1,phytozome9_0,gene,1238491,1243216,.,-,.,Bradi1g01840,1
Bd1,phytozome9_0,gene,1247819,1256246,.,+,.,Bradi1g01847,1
Bd1,phytozome9_0,gene,1264229,1265740,.,+,.,Bradi1g01870,1
Bd1,phytozome9_0,gene,1280703,1283762,.,+,.,Bradi1g01880,1
Bd1,phytozome9_0,gene,1300106,1302506,.,-,.,Bradi1g01930,1
Bd1,phytozome9_0,gene,1307435,1313677,.,+,.,Bradi1g01936,1
Bd1,phytozome9_0,gene,1326994,1328979,.,-,.,Bradi1g01960,2
Bd1,phytozome9_0,gene,1331427,1332000,.,+,.,Bradi1g01965,1
Bd1,phytozome9_0,gene,1335404,1339644,.,+,.,Bradi1g01980,1
Bd1,phytozome9_0,gene,1345732,1348603,.,-,.,Bradi1g01990,2
Bd1,phytozome9_0,gene,1376363,1382185,.,-,.,Bradi1g02050,3
Bd1,phytozome9_0,gene,1412385,1413890,.,+,.,Bradi1g02070,2
Bd1,phytozome9_0,gene,1419315,1421725,.,-,.,Bradi1g02090,1
Bd1,phytozome9_0,gene,1426323,1428092,.,+,.,Bradi1g02100,1
Bd1,phytozome9_0,gene,1434336,1436503,.,+,.,Bradi1g02107,1
Bd1,phytozome9_0,gene,1437315,1439508,.,-,.,Bradi1g02117,1
Bd1,phytozome9_0,gene,1439877,1442157,.,-,.,Bradi1g02130,2
Bd1,phytozome9_0,gene,1451829,1453803,.,-,.,Bradi1g02140,1
Bd1,phytozome9_0,gene,1466945,1471268,.,+,.,Bradi1g02160,1
Bd1,phytozome9_0,gene,1480065,1483059,.,-,.,Bradi1g02180,2
Bd1,phytozome9_0,gene,1507411,1510882,.,+,.,Bradi1g02220,2
Bd1,phytozome9_0,gene,1524952,1529174,.,-,.,Bradi1g02247,1
Bd1,phytozome9_0,gene,1531193,1534116,.,+,.,Bradi1g02260,1
Bd1,phytozome9_0,gene,1563657,1564112,.,+,.,Bradi1g02300,1
Bd1,phytozome9_0,gene,1592159,1594428,.,+,.,Bradi1g02350,1
Bd1,phytozome9_0,gene,1609544,1611415,.,+,.,Bradi1g02360,2
Bd1,phytozome9_0,gene,1619498,1622476,.,-,.,Bradi1g02370,1
Bd1,phytozome9_0,gene,1628507,1632782,.,+,.,Bradi1g02380,1
Bd1,phytozome9_0,gene,1640336,1641538,.,-,.,Bradi1g02410,1
Bd1,phytozome9_0,gene,1645207,1647645,.,+,.,Bradi1g02420,1
Bd1,phytozome9_0,gene,1648277,1648852,.,+,.,Bradi1g02430,2
Bd1,phytozome9_0,gene,1652466,1655054,.,+,.,Bradi1g02440,1
Bd1,phytozome9_0,gene,1656928,1661959,.,-,.,Bradi1g02450,2
Bd1,phytozome9_0,gene,1662868,1665636,.,+,.,Bradi1g02460,2
Bd1,phytozome9_0,gene,1667508,1668155,.,-,.,Bradi1g02470,2
Bd1,phytozome9_0,gene,1677860,1679769,.,-,.,Bradi1g02480,1
Bd1,phytozome9_0,gene,1687390,1692440,.,+,.,Bradi1g02490,1
Bd1,phytozome9_0,gene,1695336,1698026,.,+,.,Bradi1g02505,1
Bd1,phytozome9_0,gene,1724262,1724896,.,-,.,Bradi1g02550,1
Bd1,phytozome9_0,gene,1725935,1726897,.,-,.,Bradi1g02560,1
Bd1,phytozome9_0,gene,1728243,1731502,.,+,.,Bradi1g02570,2
Bd1,phytozome9_0,gene,1744849,1751278,.,-,.,Bradi1g02597,1
Bd1,phytozome9_0,gene,1779640,1782939,.,-,.,Bradi1g02630,1
Bd1,phytozome9_0,gene,1788610,1789221,.,-,.,Bradi1g02640,2
Bd1,phytozome9_0,gene,1828877,1832625,.,-,.,Bradi1g02720,2
Bd1,phytozome9_0,gene,1838373,1840828,.,+,.,Bradi1g02730,2
Bd1,phytozome9_0,gene,1849454,1851695,.,-,.,Bradi1g02750,1
Bd1,phytozome9_0,gene,1858041,1863792,.,+,.,Bradi1g02760,1
Bd1,phytozome9_0,gene,1873822,1876744,.,-,.,Bradi1g02780,1
Bd1,phytozome9_0,gene,1887336,1891576,.,+,.,Bradi1g02800,1
Bd1,phytozome9_0,gene,1892161,1893109,.,-,.,Bradi1g02803,1
Bd1,phytozome9_0,gene,1937097,1938216,.,-,.,Bradi1g02847,1
Bd1,phytozome9_0,gene,1943963,1944715,.,+,.,Bradi1g02860,1
Bd1,phytozome9_0,gene,1946002,1947165,.,-,.,Bradi1g02870,1
Bd1,phytozome9_0,gene,1952073,1955799,.,-,.,Bradi1g02890,1
Bd1,phytozome9_0,gene,1956588,1959833,.,-,.,Bradi1g02900,2
Bd1,phytozome9_0,gene,1962128,1967300,.,-,.,Bradi1g02910,2
Bd1,phytozome9_0,gene,1968283,1970836,.,-,.,Bradi1g02920,1
Bd1,phytozome9_0,gene,1972632,1974682,.,+,.,Bradi1g02930,2
Bd1,phytozome9_0,gene,1976431,1979871,.,+,.,Bradi1g02940,1
Bd1,phytozome9_0,gene,1995134,1998453,.,-,.,Bradi1g02980,2
Bd1,phytozome9_0,gene,2003410,2006131,.,+,.,Bradi1g02990,2
Bd1,phytozome9_0,gene,2007893,2011740,.,-,.,Bradi1g03010,1
Bd1,phytozome9_0,gene,2014552,2015206,.,-,.,Bradi1g03020,1
Bd1,phytozome9_0,gene,2018316,2023056,.,+,.,Bradi1g03030,1
Bd1,phytozome9_0,gene,2034552,2035766,.,-,.,Bradi1g03060,1
Bd1,phytozome9_0,gene,2037903,2038538,.,+,.,Bradi1g03070,1
Bd1,phytozome9_0,gene,2039878,2040555,.,+,.,Bradi1g03080,2
Bd1,phytozome9_0,gene,2043893,2044467,.,+,.,Bradi1g03090,1
Bd1,phytozome9_0,gene,2046035,2046679,.,+,.,Bradi1g03100,1
Bd1,phytozome9_0,gene,2091116,2098713,.,+,.,Bradi1g03180,1
Bd1,phytozome9_0,gene,2108797,2110778,.,-,.,Bradi1g03190,1
Bd1,phytozome9_0,gene,2113103,2116965,.,-,.,Bradi1g03200,3
Bd1,phytozome9_0,gene,2128838,2129821,.,+,.,Bradi1g03230,1
Bd1,phytozome9_0,gene,2161227,2165998,.,-,.,Bradi1g03270,1
Bd1,phytozome9_0,gene,2174361,2177023,.,+,.,Bradi1g03290,1
Bd1,phytozome9_0,gene,2177487,2177921,.,+,.,Bradi1g03300,1
Bd1,phytozome9_0,gene,2191397,2194624,.,-,.,Bradi1g03330,1
Bd1,phytozome9_0,gene,2196115,2196627,.,+,.,Bradi1g03340,1
Bd1,phytozome9_0,gene,2197363,2200001,.,-,.,Bradi1g03350,1
Bd1,phytozome9_0,gene,2203534,2206307,.,-,.,Bradi1g03360,1
Bd1,phytozome9_0,gene,2211609,2218845,.,-,.,Bradi1g03380,1
Bd1,phytozome9_0,gene,2220442,2222263,.,+,.,Bradi1g03390,1
Bd1,phytozome9_0,gene,2225967,2228481,.,+,.,Bradi1g03410,1
Bd1,phytozome9_0,gene,2249266,2251632,.,+,.,Bradi1g03430,2
Bd1,phytozome9_0,gene,2279083,2283699,.,+,.,Bradi1g03450,1
Bd1,phytozome9_0,gene,2314938,2315927,.,+,.,Bradi1g03485,1
Bd1,phytozome9_0,gene,2328359,2330448,.,+,.,Bradi1g03500,2
Bd1,phytozome9_0,gene,2335760,2336651,.,+,.,Bradi1g03510,2
Bd1,phytozome9_0,gene,2340223,2341032,.,-,.,Bradi1g03520,1
Bd1,phytozome9_0,gene,2342287,2347186,.,+,.,Bradi1g03530,2
Bd1,phytozome9_0,gene,2352775,2355015,.,+,.,Bradi1g03537,1
Bd1,phytozome9_0,gene,2382896,2384528,.,-,.,Bradi1g03580,1
Bd1,phytozome9_0,gene,2384854,2388277,.,-,.,Bradi1g03590,1
Bd1,phytozome9_0,gene,2391550,2393747,.,-,.,Bradi1g03600,1
Bd1,phytozome9_0,gene,2395340,2398243,.,+,.,Bradi1g03610,2
Bd1,phytozome9_0,gene,2398465,2400645,.,-,.,Bradi1g03620,2
Bd1,phytozome9_0,gene,2456234,2460791,.,-,.,Bradi1g03650,1
Bd1,phytozome9_0,gene,2462619,2466016,.,+,.,Bradi1g03660,1
Bd1,phytozome9_0,gene,2466241,2468076,.,+,.,Bradi1g03670,1
Bd1,phytozome9_0,gene,2492602,2495572,.,+,.,Bradi1g03700,1
Bd1,phytozome9_0,gene,2505000,2506728,.,-,.,Bradi1g03710,1
Bd1,phytozome9_0,gene,2511355,2515521,.,-,.,Bradi1g03720,1
Bd1,phytozome9_0,gene,2518200,2523397,.,+,.,Bradi1g03730,1
Bd1,phytozome9_0,gene,2537520,2538461,.,-,.,Bradi1g03780,1
Bd1,phytozome9_0,gene,2542710,2543502,.,+,.,Bradi1g03790,1
Bd1,phytozome9_0,gene,2567445,2568569,.,+,.,Bradi1g03840,1
Bd1,phytozome9_0,gene,2654523,2658454,.,+,.,Bradi1g03947,1
Bd1,phytozome9_0,gene,2669240,2675717,.,+,.,Bradi1g03960,1
Bd1,phytozome9_0,gene,2728453,2730586,.,-,.,Bradi1g03980,1
Bd1,phytozome9_0,gene,2735417,2736590,.,+,.,Bradi1g03987,1
Bd1,phytozome9_0,gene,2749526,2750299,.,+,.,Bradi1g04010,2
Bd1,phytozome9_0,gene,2768923,2771823,.,-,.,Bradi1g04070,1
Bd1,phytozome9_0,gene,2776045,2779519,.,+,.,Bradi1g04080,1
Bd1,phytozome9_0,gene,2783797,2787056,.,+,.,Bradi1g04097,1
Bd1,phytozome9_0,gene,2788453,2789893,.,+,.,Bradi1g04110,1
Bd1,phytozome9_0,gene,2791350,2795765,.,-,.,Bradi1g04120,1
Bd1,phytozome9_0,gene,2800767,2803084,.,-,.,Bradi1g04130,1
Bd1,phytozome9_0,gene,2807882,2813488,.,+,.,Bradi1g04140,1
Bd1,phytozome9_0,gene,2827167,2829790,.,-,.,Bradi1g04180,1
Bd1,phytozome9_0,gene,2832355,2832843,.,-,.,Bradi1g04190,1
Bd1,phytozome9_0,gene,2840820,2855379,.,+,.,Bradi1g04210,3
Bd1,phytozome9_0,gene,2879050,2882369,.,+,.,Bradi1g04250,1
Bd1,phytozome9_0,gene,2900786,2902420,.,-,.,Bradi1g04280,1
Bd1,phytozome9_0,gene,2906819,2908237,.,-,.,Bradi1g04286,1
Bd1,phytozome9_0,gene,2925625,2932491,.,-,.,Bradi1g04300,1
Bd1,phytozome9_0,gene,2936075,2939688,.,+,.,Bradi1g04310,1
Bd1,phytozome9_0,gene,2967482,2968821,.,+,.,Bradi1g04380,4
Bd1,phytozome9_0,gene,2970627,2971726,.,+,.,Bradi1g04390,1
Bd1,phytozome9_0,gene,2992052,2992788,.,+,.,Bradi1g04430,1
Bd1,phytozome9_0,gene,2995211,2999367,.,+,.,Bradi1g04440,1
Bd1,phytozome9_0,gene,3004917,3005492,.,-,.,Bradi1g04470,1
Bd1,phytozome9_0,gene,3007102,3009224,.,-,.,Bradi1g04477,1
Bd1,phytozome9_0,gene,3010159,3010980,.,+,.,Bradi1g04490,1
Bd1,phytozome9_0,gene,3011518,3015329,.,-,.,Bradi1g04500,2
Bd1,phytozome9_0,gene,3027649,3030843,.,+,.,Bradi1g04510,1
Bd1,phytozome9_0,gene,3034930,3039752,.,-,.,Bradi1g04527,2
Bd1,phytozome9_0,gene,3044209,3049727,.,+,.,Bradi1g04540,1
Bd1,phytozome9_0,gene,3057269,3061716,.,-,.,Bradi1g04570,1
Bd1,phytozome9_0,gene,3066317,3067768,.,+,.,Bradi1g04580,1
Bd1,phytozome9_0,gene,3078295,3082585,.,-,.,Bradi1g04590,2
Bd1,phytozome9_0,gene,3086694,3094294,.,+,.,Bradi1g04597,2
Bd1,phytozome9_0,gene,3103118,3104902,.,-,.,Bradi1g04620,2
Bd1,phytozome9_0,gene,3108431,3109812,.,+,.,Bradi1g04630,2
Bd1,phytozome9_0,gene,3112631,3113751,.,+,.,Bradi1g04640,1
Bd1,phytozome9_0,gene,3118097,3120115,.,-,.,Bradi1g04660,1
Bd1,phytozome9_0,gene,3130340,3131877,.,+,.,Bradi1g04677,1
Bd1,phytozome9_0,gene,3143634,3145887,.,-,.,Bradi1g04690,1
Bd1,phytozome9_0,gene,3147661,3148632,.,-,.,Bradi1g04700,2
Bd1,phytozome9_0,gene,3150392,3152843,.,+,.,Bradi1g04710,1
Bd1,phytozome9_0,gene,3163156,3166344,.,-,.,Bradi1g04730,2
Bd1,phytozome9_0,gene,3166861,3169674,.,-,.,Bradi1g04740,1
Bd1,phytozome9_0,gene,3174603,3176494,.,-,.,Bradi1g04760,1
Bd1,phytozome9_0,gene,3184173,3185578,.,-,.,Bradi1g04780,2
Bd1,phytozome9_0,gene,3185972,3188997,.,-,.,Bradi1g04790,2
Bd1,phytozome9_0,gene,3190006,3195155,.,+,.,Bradi1g04800,2
Bd1,phytozome9_0,gene,3195286,3197738,.,-,.,Bradi1g04810,1
Bd1,phytozome9_0,gene,3216937,3223264,.,-,.,Bradi1g04850,1
Bd1,phytozome9_0,gene,3226311,3231722,.,+,.,Bradi1g04860,1
Bd1,phytozome9_0,gene,3232026,3238948,.,-,.,Bradi1g04870,2
Bd1,phytozome9_0,gene,3242446,3244445,.,+,.,Bradi1g04880,1
Bd1,phytozome9_0,gene,3245694,3247153,.,+,.,Bradi1g04890,1
Bd1,phytozome9_0,gene,3247281,3252808,.,-,.,Bradi1g04900,1
Bd1,phytozome9_0,gene,3268869,3271023,.,-,.,Bradi1g04930,1
Bd1,phytozome9_0,gene,3278349,3280725,.,+,.,Bradi1g04950,1
Bd1,phytozome9_0,gene,3303828,3304399,.,+,.,Bradi1g04970,1
Bd1,phytozome9_0,gene,3326705,3328933,.,+,.,Bradi1g05000,1
Bd1,phytozome9_0,gene,3330519,3331871,.,-,.,Bradi1g05010,1
Bd1,phytozome9_0,gene,3333896,3334336,.,+,.,Bradi1g05020,1
Bd1,phytozome9_0,gene,3342874,3346730,.,+,.,Bradi1g05037,1
Bd1,phytozome9_0,gene,3383983,3386132,.,-,.,Bradi1g05090,3
Bd1,phytozome9_0,gene,3396075,3404659,.,-,.,Bradi1g05110,1
Bd1,phytozome9_0,gene,3410815,3419276,.,-,.,Bradi1g05122,1
Bd1,phytozome9_0,gene,3424672,3432510,.,+,.,Bradi1g05130,1
Bd1,phytozome9_0,gene,3433329,3434058,.,+,.,Bradi1g05140,1
Bd1,phytozome9_0,gene,3435837,3438091,.,+,.,Bradi1g05150,1
Bd1,phytozome9_0,gene,3456950,3465149,.,-,.,Bradi1g05170,2
Bd1,phytozome9_0,gene,3469409,3471808,.,-,.,Bradi1g05180,1
Bd1,phytozome9_0,gene,3479778,3483569,.,-,.,Bradi1g05190,2
Bd1,phytozome9_0,gene,3515908,3519741,.,-,.,Bradi1g05210,1
Bd1,phytozome9_0,gene,3520612,3522060,.,+,.,Bradi1g05217,1
Bd1,phytozome9_0,gene,3522177,3526423,.,-,.,Bradi1g05230,1
Bd1,phytozome9_0,gene,3600491,3604940,.,-,.,Bradi1g05320,1
Bd1,phytozome9_0,gene,3608910,3613249,.,+,.,Bradi1g05325,1
Bd1,phytozome9_0,gene,3629774,3632396,.,+,.,Bradi1g05340,1
Bd1,phytozome9_0,gene,3634382,3636079,.,-,.,Bradi1g05350,1
Bd1,phytozome9_0,gene,3638915,3641678,.,-,.,Bradi1g05360,1
Bd1,phytozome9_0,gene,3643103,3644037,.,+,.,Bradi1g05370,1
Bd1,phytozome9_0,gene,3644556,3650399,.,-,.,Bradi1g05380,1
Bd1,phytozome9_0,gene,3683330,3687345,.,-,.,Bradi1g05430,1
Bd1,phytozome9_0,gene,3697812,3698978,.,-,.,Bradi1g05440,1
Bd1,phytozome9_0,gene,3700178,3702036,.,+,.,Bradi1g05450,3
Bd1,phytozome9_0,gene,3724165,3731258,.,-,.,Bradi1g05490,2
Bd1,phytozome9_0,gene,3741876,3743657,.,-,.,Bradi1g05500,3
Bd1,phytozome9_0,gene,3752460,3755137,.,+,.,Bradi1g05510,1
Bd1,phytozome9_0,gene,3760527,3761036,.,+,.,Bradi1g05530,1
Bd1,phytozome9_0,gene,3774138,3776158,.,-,.,Bradi1g05540,1
Bd1,phytozome9_0,gene,3777047,3779557,.,-,.,Bradi1g05550,1
Bd1,phytozome9_0,gene,3780179,3783346,.,+,.,Bradi1g05560,1
Bd1,phytozome9_0,gene,3783604,3784512,.,+,.,Bradi1g05570,1
Bd1,phytozome9_0,gene,3784716,3788331,.,-,.,Bradi1g05580,1
Bd1,phytozome9_0,gene,3801983,3804018,.,-,.,Bradi1g05610,1
Bd1,phytozome9_0,gene,3808723,3811281,.,+,.,Bradi1g05620,1
Bd1,phytozome9_0,gene,3833105,3844422,.,-,.,Bradi1g05660,1
Bd1,phytozome9_0,gene,3846083,3848192,.,+,.,Bradi1g05670,1
Bd1,phytozome9_0,gene,3856262,3856891,.,-,.,Bradi1g05690,1
Bd1,phytozome9_0,gene,3857157,3857868,.,-,.,Bradi1g05700,1
Bd1,phytozome9_0,gene,3888176,3889488,.,+,.,Bradi1g05720,1
Bd1,phytozome9_0,gene,3895433,3895609,.,+,.,Bradi1g05730,1
Bd1,phytozome9_0,gene,3918120,3919082,.,-,.,Bradi1g05770,1
Bd1,phytozome9_0,gene,3921285,3921995,.,+,.,Bradi1g05780,1
Bd1,phytozome9_0,gene,3927301,3927582,.,+,.,Bradi1g05787,1
Bd1,phytozome9_0,gene,3928275,3929669,.,+,.,Bradi1g05800,1
Bd1,phytozome9_0,gene,3929413,3929628,.,+,.,Bradi1g05803,1
Bd1,phytozome9_0,gene,3948717,3949453,.,-,.,Bradi1g05817,2
Bd1,phytozome9_0,gene,3949939,3950722,.,-,.,Bradi1g05830,2
Bd1,phytozome9_0,gene,3954019,3954871,.,+,.,Bradi1g05850,1
Bd1,phytozome9_0,gene,3964190,3965757,.,+,.,Bradi1g05880,1
Bd1,phytozome9_0,gene,3977046,3977791,.,-,.,Bradi1g05900,1
Bd1,phytozome9_0,gene,3978131,3980016,.,-,.,Bradi1g05910,1
Bd1,phytozome9_0,gene,3991791,3996050,.,-,.,Bradi1g05920,1
Bd1,phytozome9_0,gene,4003404,4009324,.,-,.,Bradi1g05930,2
Bd1,phytozome9_0,gene,4014692,4021138,.,-,.,Bradi1g05950,3
Bd1,phytozome9_0,gene,4024034,4025994,.,-,.,Bradi1g05960,1
Bd1,phytozome9_0,gene,4028943,4033418,.,+,.,Bradi1g05970,2
Bd1,phytozome9_0,gene,4034353,4034973,.,-,.,Bradi1g05980,1
Bd1,phytozome9_0,gene,4047883,4048361,.,+,.,Bradi1g05990,1
Bd1,phytozome9_0,gene,4050647,4051426,.,-,.,Bradi1g06000,1
Bd1,phytozome9_0,gene,4054519,4055159,.,-,.,Bradi1g06010,1
Bd1,phytozome9_0,gene,4060195,4064712,.,-,.,Bradi1g06030,1
Bd1,phytozome9_0,gene,4067650,4070542,.,+,.,Bradi1g06040,1
Bd1,phytozome9_0,gene,4075405,4079601,.,+,.,Bradi1g06060,2
Bd1,phytozome9_0,gene,4080078,4084383,.,-,.,Bradi1g06070,2
Bd1,phytozome9_0,gene,4106565,4110335,.,+,.,Bradi1g06110,2
Bd1,phytozome9_0,gene,4122936,4123567,.,+,.,Bradi1g06140,1
Bd1,phytozome9_0,gene,4143979,4144927,.,-,.,Bradi1g06190,1
Bd1,phytozome9_0,gene,4155157,4155871,.,+,.,Bradi1g06210,1
Bd1,phytozome9_0,gene,4167040,4169146,.,-,.,Bradi1g06220,1
Bd1,phytozome9_0,gene,4186236,4189234,.,-,.,Bradi1g06240,1
Bd1,phytozome9_0,gene,4191881,4195201,.,+,.,Bradi1g06250,1
